ATMOSFERA,ANODO,TIEMPO,ALTURA,AGITACION,H2SO4,NaOH,CaCO3,CARBON,COBRE,YH2,YCO2,YO2,YCO,YCH4,mmol_gas_abs,kpa_dpmax,n_EtOH,n_gluc,SEI_kj-mol,n_FUEL(%),I_LCP(%),%n_SCG,%FE_H2,%FE_CO,%FE_Methane,%FE_Ethanol,%FE_gluc,%FE_product_TOTAL,%n_LHV,Y_syngas,H2_CO,%X_c_Gas_masa,%X_C_liq_masa,%X_C_global,Indx syngas_O2
ARGON,PLATINO,40,0.45,625,0.215,0.323,0.195,0.5,0.25,0.01363569,0.05305903,0.0341275,0.00658582,0.0000185,0.3241,-4.4014,0,2.28E-05,10563.14041,0.297477689,99.97312454,0.004479243,119.5318204,465.1207563,0.158876003,0,5.094878314,589.906331,2.416120266,0.232002613,2.070461993,1.384917908,0.184736797,1.569654705,0.592528313
ARGON,HIERRO,40,0.7,0,0,0.646,0,1,0,0.00391049,0.00254695,0.02661304,0.00103039,0.00004513,0.8234,0.8234,1.07E-05,2.50E-05,35466.65188,0.024639494,99.99917032,0.000138279,7.437792479,4.844325277,0.086573711,0.535419315,1.244761094,14.14887188,0.705992791,0.029669984,3.795155232,0.110159149,0.116893543,0.227052693,0.185656355
CO2,HIERRO,20,0.7,1250,0.43,0,0,0.5,0,0.07217977,0.80504519,0.02675896,0.06258985,0.00001795,4.306,10.4249,0,2.50E-05,852.5769199,5.373827783,99.25527637,0.063381294,7286.726236,81271.30229,1.909899483,0,69.04168194,88628.98011,30.60534969,3.16969731,1.153218453,2.889052223,0.41420751,3.303259734,5.036429667
CO2,PLATINO,60,0.7,1250,0,0.646,0,0,0.25,0.04877275,0.53586148,0.06827792,0.03181794,0.00030773,14.5998,9.7431,8.37E-05,0,3659.773475,87.4770918,84.61773601,0,377.0282146,4142.372473,3.813864559,26.93940166,0,4550.153954,7.05142375,90.94349402,1.532869507,1.246763341,16.299739,17.54650234,1.180333115
CO2,PLATINO,20,0.45,0,0.43,0.646,0,1,0.5,0.04150366,0.76832176,0.05764193,0.05769694,0.00016295,3.6531,12.402,0,5.71E-06,1663.473504,2.62085815,99.62577648,0.031517193,4485.777041,83041.35372,17.77248281,0,16.17636677,87561.07961,15.97637092,1.1788529,0.719339015,2.269577249,0.047836505,2.317413754,1.720979849
ARGON,HIERRO,60,0.7,1250,0.43,0.646,0.39,1,0.5,0.01566504,0.05397738,0.15964927,0.00712797,0.00003291,1.8927,-2.1721,2.83E-05,3.57E-06,14158.3193,0.160119946,99.98632852,0.00227858,101.7193985,350.4968151,0.210860781,4.714618688,0.593929904,457.735623,1.798831566,0.130752794,2.197686017,0.744105565,0.042482333,0.786587898,0.142769272
ARGON,PLATINO,60,0.2,0,0,0.646,0.39,0.5,0.5,0.00839407,0.00314918,0.04580917,0.00069769,0.00003341,0.4238,1.7418,0,2.85E-06,28307.40002,0.031255406,99.99834036,0.000276606,20.43024085,7.66475689,0.080300341,0,0.178237123,28.3535352,0.865362538,0.099846413,12.03123164,0.139323129,0.022103886,0.161427015,0.198470306
ARGON,PLATINO,60,0.2,1250,0.43,0.323,0,1,0,0.01079241,0.00132066,0.03103638,0.00193386,0.0000065,0.397,1.8393,0,5.71E-06,29340.25987,0.0459985,99.99922691,0.000128848,42.81323593,5.239027072,0.025121123,0,0.573208912,48.65059304,0.845461749,0.076421251,5.580760758,0.214035457,0.02417281,0.238208267,0.410043633
CO2,PLATINO,20,0.2,0,0,0,0,0,0,0.0319398,0.83387936,0.06718,0.00973712,0.00002864,3.4095,5.3616,0,0,833.0472283,39.52229925,65.86464777,0,810.5635512,21162.06787,0.779691911,0,0,21973.41111,30.18144554,47.03080126,3.280210165,0.570224893,0,0.570224893,0.620376898
CO2,HIERRO,20,0.7,0,0,0.323,0.39,0,0.5,0.07209913,0.69141583,0.04074306,0.06680894,0.00000278,9.1472,11.9223,0,2.14E-05,1452.477366,43.54787797,95.0579168,0.505497042,7299.299125,69998.77756,0.347252234,0,69.47343414,77367.89737,18.01167257,29.04255495,1.079183864,3.311417064,3.156114385,6.467531449,3.409367632
ARGON,HIERRO,40,0.7,0,0,0.646,0,1,0,0.00868159,0.00132347,0.1008113,0.00190252,0.00001966,0.7326,2.8463,9.83E-05,2.85E-06,24303.58325,0.044103393,99.99925532,0.000124113,40.2347876,6.133615425,0.091728195,11.91751397,0.346000387,58.72364557,1.025387078,0.063557581,4.563205643,0.203769463,0.114011405,0.317780868,0.104989322
ARGON,PLATINO,20,0.7,1250,0,0,0.195,1,0.5,0.002584272,0.0004196,0.02921908,0.00234593,0.00000531,0.3882,2.2311,0,0,21480.94751,0.054621897,99.9993563,0.000107284,11.23421542,1.824063718,0.022424394,0,0,13.08070354,1.216911539,0.028928926,1.101598087,0.254434143,0,0.254434143,0.16873228
ARGON,HIERRO,60,0.45,1250,0,0,0.39,0,0,0.00440221,0.00368452,0.02198,0.00258523,0.00000565,0.5869,-6.8935,5.73E-05,2.07E-05,37559.84734,1.269810787,99.96924404,0.005125993,7.918699349,6.627717924,0.010234474,2.69642991,0.973895441,18.2269771,0.684356551,0.896572162,1.702831083,5.91527647,3.141590508,9.056866979,0.317899909
ARGON,PLATINO,20,0.7,625,0.43,0.646,0.39,0,0,0.01384298,0.02789838,0.02161415,0.00566413,0.0000075,0.2387,2.6752,0,2.85E-06,8417.794382,2.874566151,99.82985138,0.028358103,344.7099961,694.7095538,0.181854938,0,1.798129998,1041.399535,3.014601173,2.502995631,2.443972861,13.40304578,0.258256516,13.66130229,0.902515713
CO2,PLATINO,20,0.45,0,0.43,0.646,0,1,0.5,0.05641194,0.78105258,0.05041353,0.07044143,0.00000302,4.1284,12.8939,0,0,1401.833347,3.084344766,99.62718058,0.031398938,8742.032032,121037.9695,0.488573823,0,0,129780.4901,18.88086629,1.507465309,0.800834679,2.678433756,0,2.678433756,2.516256449
ARGON,HIERRO,60,0.7,1250,0.43,0.646,0.39,1,0.5,0.02255969,0.05914284,0.00701696,0.00764498,0.00000949,0.7686,-3.5114,3.16E-05,0,15395.89904,0.168894814,99.98526127,0.002456456,232.6193039,609.838445,0.097854057,8.459481628,0,851.0150845,1.638280182,0.173270007,2.950915503,0.787482108,0.031273882,0.818755991,4.304523611
ARGON,PLATINO,20,0.7,1250,0,0,0.195,1,0.5,0.00122758,0.00146979,0.01134434,0.00126807,0.00000354,0.2977,-2.0751,0,0,44018.94441,0.028481044,99.999386,0.000102334,2.510515951,3.005858062,0.007295302,0,0,5.523669315,0.596866242,0.014643715,0.968069586,0.132586228,0,0.132586228,0.219990762
ARGON,HIERRO,60,0.7,0,0.43,0,0,0,0.5,0.00793616,0.00050858,0.00415132,0.0035186,0,0.4055,-7.5849,0.000101259,0,39263.94802,0,100,0,26.24970464,1.68218317,0,9.115840236,0,37.04772804,0.648064104,0,2.255487978,0,0,0,2.759305474
CO2,HIERRO,20,0.7,0,0,0.323,0.39,0,0.5,0.0700711,0.71823399,0.04361938,0.07159497,0,9.92,10.2838,1.95E-05,0,1529.653705,45.25840868,95.00713502,0.510691216,8166.255893,83704.73067,0,75.23798559,0,91946.22455,17.16869568,29.61919075,0.978715404,3.441663938,0.705049093,4.146713031,3.247778166
CO2,PLATINO,40,0.2,1250,0.43,0,0.39,0,0.5,0.05025917,0.85288175,0.03951008,0.05311459,0.00005102,3.2154,14.2272,0,1.57E-05,3009.078897,42.61234535,92.73803387,0.742784418,2642.672945,44845.2994,2.691687006,0,21.51810611,47512.18214,8.739186581,21.61312949,0.946240383,3.237324636,2.314483882,5.551808518,2.616389539
